City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Quatre Cocos,MU,69.91,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
175,Antalaha,MG,66.38,clear sky,-14.9003,50.2788,Hotel Vitasoa
184,Dabakala,CI,72.9,moderate rain,8.3667,-4.4333,Hôtel Campement
187,Aland,IN,73.42,overcast clouds,17.5667,76.5667,ui
193,La Sarre,CA,66.7,few clouds,48.8002,-79.1996,Motel Villa Mon Repos
195,Ambilobe,MG,69.03,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
208,Leeuwarden,NL,61.99,broken clouds,53.2014,5.8086,Bastion Hotel Leeuwarden
216,Fürstenfeld,AT,64.11,overcast clouds,47.05,16.0833,JUFA Hotel Fürstenfeld
220,Kamuli,UG,63.32,light rain,0.9472,33.1197,Century Hotel Limited And laundry Services
225,Belmonte,BR,70.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
229,Médéa,DZ,66.65,few clouds,36.2642,2.7539,Hôtel M'Sallah
236,Sarab,IR,72.5,clear sky,38.6066,44.9883,مسجد امام رضا
240,Kurgunta,IN,74.21,broken clouds,17.2,77.35,CCi Guest House
243,Kisangani,CD,74.25,broken clouds,0.5167,25.2,Grand Ramela Hotel
246,Sept-Îles,CA,72.12,scattered clouds,50.2001,-66.3821,Comfort Inn
256,Prokuplje,RS,67.32,few clouds,43.2342,21.5881,Дом ученика средњих школа Прокупље
260,Gemeente Venlo,NL,61.27,overcast clouds,51.3667,6.1667,Hotel Café Restaurant Wilhelmina
262,St Johann im Pongau,AT,64.33,overcast clouds,47.35,13.2,Sonnhof Alpendorf
266,Angoche,MZ,68.18,few clouds,-16.2325,39.9086,Guest House HESADA
267,Bereda,ES,65.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
269,Sovetskiy,RU,62.78,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
271,Carballo,ES,66.9,overcast clouds,43.213,-8.691,Pazo do Souto
